,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
466,Mercer University,"Macon, GA","
                  58.12
              ","
                  74%
              ","
                  $56,400
              ","
                  $22,900
              ","
                  93%
              ","
                  64%
              ","
                  $52,840
              ","$16,020",1260/28,No,"4,810",99%,84%,30%,"$21,100",4.2 years,"$25,000",69%
467,Ashland University,"Ashland, OH","
                  58.10
              ","
                  71%
              ","
                  $38,200
              ","
                  $22,100
              ","
                  69%
              ","
                  61%
              ","
                  $48,170
              ","$19,730",1100/22,No,"2,970",96%,81%,7%,"$8,800",4.2 years,"$25,000",72%
468,The Evergreen State College,"Olympia, WA","
                  58.08
              ","
                  98%
              ","
                  $26,200
              ","
                  $15,500
              ","
                  71%
              ","
                  53%
              ","
                  $40,780
              ","$9,710",1080/22,No,"2,530",93%,63%,3%,"$2,060",4.3 years,"$19,089",53%
469,University of Mary Washington,"Fredericksburg, VA","
                  58.07
              ","
                  75%
              ","
                  $30,900
              ","
                  $23,800
              ","
                  72%
              ","
                  66%
              ","
                  $54,820
              ","$14,590",1180/26,No,"4,160",61%,42%,34%,"$3,520",4.2 years,"$20,500",75%
470,Kansas State University,"Manhattan, KS","
                  58.05
              ","
                  95%
              ","
                  $26,600
              ","
                  $19,500
              ","
                  67%
              ","
                  63%
              ","
                  $51,610
              ","$13,440",NA/NA,No,"16,950",55%,80%,11%,"$4,840",4.5 years,"$21,500",72%
471,University of Alabama at Birmingham,"Birmingham, AL","
                  58.05
              ","
                  74%
              ","
                  $28,400
              ","
                  $17,900
              ","
                  68%
              ","
                  57%
              ","
                  $46,990
              ","$13,440",1230/26,No,"13,330",63%,53%,27%,"$8,590",4.5 years,"$22,250",66%
472,SUNY Buffalo State,"Buffalo, NY","
                  58.02
              ","
                  67%
              ","
                  $26,600
              ","
                  $14,200
              ","
                  78%
              ","
                  47%
              ","
                  $45,430
              ","$10,480",980/21,No,"7,500",92%,74%,4%,"$2,070",4.4 years,"$21,294",67%
473,Wartburg College,"Waverly, IA","
                  58.02
              ","
                  75%
              ","
                  $59,300
              ","
                  $24,500
              ","
                  94%
              ","
                  66%
              ","
                  $52,860
              ","$16,370",1130/24,No,"1,480",100%,85%,23%,"$27,710",4.1 years,"$27,000",78%
474,Massachusetts College of Art and Design,"Boston, MA","
                  57.83
              ","
                  58%
              ","
                  $32,800
              ","
                  $24,700
              ","
                  82%
              ","
                  63%
              ","
                  $45,220
              ","$16,570",NA/NA,No,"1,850",77%,59%,11%,"$2,760",4.2 years,"$25,581",61%
475,Oklahoma City University,"Oklahoma City, OK","
                  57.73
              ","
                  75%
              ","
                  $47,800
              ","
                  $26,500
              ","
                  91%
              ","
                  63%
              ","
                  $47,650
              ","$14,370",1200/26,Yes,"1,580",97%,64%,23%,"$20,310",4.2 years,"$21,047",66%
476,Arcadia University,"Glenside, PA","
                  57.69
              ","
                  66%
              ","
                  $63,700
              ","
                  $31,200
              ","
                  90%
              ","
                  71%
              ","
                  $52,010
              ","$23,980",1150/25,No,"1,990",100%,83%,15%,"$17,060",4.1 years,"$27,000",69%
477,Keene State College,"Keene, NH","
                  57.51
              ","
                  88%
              ","
                  $31,100
              ","
                  $21,200
              ","
                  91%
              ","
                  60%
              ","
                  $48,500
              ","$14,700",NA/NA,No,"3,310",79%,69%,21%,"$5,930",4.1 years,"$26,000",72%
478,Azusa Pacific University,"Azusa, CA","
                  57.46
              ","
                  67%
              ","
                  $56,400
              ","
                  $33,100
              ","
                  92%
              ","
                  67%
              ","
                  $57,800
              ","$26,550",1150/23,No,"5,130",82%,77%,23%,"$10,970",4.3 years,"$23,350",73%
479,Indiana Wesleyan University-Marion,"Marion, IN","
                  57.46
              ","
                  67%
              ","
                  $41,800
              ","
                  $23,000
              ","
                  92%
              ","
                  65%
              ","
                  $54,410
              ","$15,830",1130/23,Yes,"2,580",81%,92%,10%,"$9,800",4.2 years,"$24,250",76%
480,Willamette University,"Salem, OR","
                  57.24
              ","
                  78%
              ","
                  $71,500
              ","
                  $40,000
              ","
                  89%
              ","
                  74%
              ","
                  $57,040
              ","$25,840",NA/NA,No,"1,480",97%,67%,32%,"$21,080",4.1 years,"$23,000",71%
481,Missouri State University-Springfield,"Springfield, MO","
                  57.20
              ","
                  88%
              ","
                  $23,400
              ","
                  $17,700
              ","
                  60%
              ","
                  54%
              ","
                  $45,590
              ","$12,380",1140/24,Yes,"15,870",83%,67%,19%,"$3,860",4.5 years,"$22,412",66%
482,Florida Agricultural and Mechanical University,"Tallahassee, FL","
                  57.16
              ","
                  36%
              ","
                  $24,000
              ","
                  $13,600
              ","
                  82%
              ","
                  48%
              ","
                  $42,520
              ","$10,630",1100/21,Yes,"7,510",81%,59%,2%,"$7,270",4.7 years,"$25,000",54%
483,Regent University,"Virginia Beach, VA","
                  57.16
              ","
                  86%
              ","
                  $31,100
              ","
                  $15,600
              ","
                  79%
              ","
                  57%
              ","
                  $41,710
              ","$20,480",1110/22,No,"4,120",69%,44%,14%,"$8,980",4.2 years,"$24,313",57%
484,College of Charleston,"Charleston, SC","
                  57.15
              ","
                  78%
              ","
                  $32,000
              ","
                  $21,500
              ","
                  68%
              ","
                  71%
              ","
                  $49,530
              ","$14,750",1170/25,No,"9,290",72%,52%,23%,"$12,800",4.2 years,"$23,000",68%
485,The Pennsylvania State University,"University Park, PA","
                  57.15
              ","
                  76%
              ","
                  $38,400
              ","
                  $27,000
              ","
                  60%
              ","
                  69%
              ","
                  $58,230
              ","$20,390",,No,"74,360",42%,65%,9%,"$4,780",4.3 years,"$25,000",75%
486,Siena Heights University,"Adrian, MI","
                  57.14
              ","
                  73%
              ","
                  $42,900
              ","
                  $20,000
              ","
                  72%
              ","
                  42%
              ","
                  $48,320
              ","$18,160",NA/NA,No,"1,970",N/A,66%,20%,N/A,4.3 years,"$18,750",75%
487,Iona College,"New Rochelle, NY","
                  57.11
              ","
                  84%
              ","
                  $62,800
              ","
                  $30,700
              ","
                  89%
              ","
                  66%
              ","
                  $68,170
              ","$27,450",1080/23,No,"2,740",38%,15%,12%,"$24,680",4.1 years,"$26,000",81%
488,Lancaster Bible College,"Lancaster, PA","
                  57.06
              ","
                  96%
              ","
                  $41,500
              ","
                  $21,900
              ","
                  90%
              ","
                  50%
              ","
                  $39,440
              ","$18,210",1080/21,No,"1,570",100%,89%,23%,"$11,070",4.3 years,"$20,469",61%
489,Northern Illinois University,"Dekalb, IL","
                  57.06
              ","
                  48%
              ","
                  $28,200
              ","
                  $15,200
              ","
                  82%
              ","
                  45%
              ","
                  $52,790
              ","$10,400",1060/22,No,"12,110",90%,63%,13%,"$3,980",4.5 years,"$22,500",71%
490,Gordon College,"Wenham, MA","
                  57.04
              ","
                  74%
              ","
                  $54,300
              ","
                  $29,000
              ","
                  97%
              ","
                  69%
              ","
                  $46,750
              ","$20,480",1190/26,No,"1,480",100%,77%,30%,"$18,880",4.1 years,"$26,310",62%
491,Ohio Wesleyan University,"Delaware, OH","
                  57.02
              ","
                  67%
              ","
                  $65,000
              ","
                  $28,100
              ","
                  99%
              ","
                  67%
              ","
                  $50,240
              ","$22,320",NA/NA,No,"1,490",100%,84%,28%,"$27,860",4.1 years,"$27,000",67%
492,University of Memphis,"Memphis, TN","
                  57.02
              ","
                  85%
              ","
                  $27,100
              ","
                  $14,500
              ","
                  89%
              ","
                  47%
              ","
                  $43,700
              ","$11,080",1120/23,No,"15,570",71%,46%,17%,"$3,360",4.6 years,"$24,250",60%
493,Lakeland University,"Plymouth, WI","
                  57.00
              ","
                  78%
              ","
                  $46,700
              ","
                  $24,400
              ","
                  68%
              ","
                  47%
              ","
                  $49,590
              ","$21,090",980/20,No,"1,710",86%,63%,9%,"$7,430",4.1 years,"$25,000",75%
494,Baldwin Wallace University,"Berea, OH","
                  56.97
              ","
                  73%
              ","
                  $55,900
              ","
                  $26,700
              ","
                  95%
              ","
                  64%
              ","
                  $49,640
              ","$18,190",1150/24,No,"2,930",98%,82%,14%,"$17,460",4.2 years,"$27,000",71%
495,Berry College,"Mount Berry, GA","
                  56.93
              ","
                  71%
              ","
                  $56,100
              ","
                  $26,000
              ","
                  99%
              ","
                  66%
              ","
                  $45,580
              ","$17,990",1210/27,No,"1,920",100%,85%,29%,"$19,130",4.1 years,"$23,987",65%
496,California Baptist University,"Riverside, CA","
                  56.93
              ","
                  78%
              ","
                  $52,200
              ","
                  $29,400
              ","
                  96%
              ","
                  54%
              ","
                  $52,940
              ","$21,770",1100/21,No,"8,170",78%,31%,9%,"$13,500",4.4 years,"$27,000",71%
497,Tarleton State University,"Stephenville, TX","
                  56.91
              ","
                  56%
              ","
                  $22,500
              ","
                  $16,000
              ","
                  66%
              ","
                  47%
              ","
                  $46,640
              ","$16,520",1050/21,Yes,"11,350",93%,51%,N/A,N/A,4.4 years,"$19,500",70%
498,University of Dallas,"Irving, TX","
                  56.89
              ","
                  45%
              ","
                  $64,100
              ","
                  $29,000
              ","
                  97%
              ","
                  67%
              ","
                  $54,700
              ","$15,420",1250/27,No,"1,470",98%,81%,36%,"$22,040",4.1 years,"$23,250",71%
499,Western Illinois University,"Macomb, IL","
                  56.89
              ","
                  57%
              ","
                  $27,300
              ","
                  $16,200
              ","
                  90%
              ","
                  46%
              ","
                  $49,630
              ","$12,270",1050/22,No,"5,960",79%,70%,10%,"$4,720",4.4 years,"$25,047",69%
500,University of Lynchburg,"Lynchburg, VA","
                  56.86
              ","
                  91%
              ","
                  $58,900
              ","
                  $25,800
              ","
                  99%
              ","
                  61%
              ","
                  $49,490
              ","$17,710",1070/22,No,"1,850",99%,79%,21%,"$21,810",4.3 years,"$27,000",68%
501,Southwestern University,"Georgetown, TX","
                  56.75
              ","
                  49%
              ","
                  $61,200
              ","
                  $31,500
              ","
                  97%
              ","
                  74%
              ","
                  $57,050
              ","$20,540",1230/26,No,"1,510",99%,86%,39%,"$23,700",4.1 years,"$26,000",72%
502,Pacific University,"Forest Grove, OR","
                  56.62
              ","
                  87%
              ","
                  $66,200
              ","
                  $33,800
              ","
                  89%
              ","
                  65%
              ","
                  $54,440
              ","$21,390",1160/23,No,"1,770",100%,85%,19%,"$21,230",4.1 years,"$25,000",71%
503,Concordia University-Nebraska,"Seward, NE","
                  56.54
              ","
                  78%
              ","
                  $48,900
              ","
                  $23,400
              ","
                  54%
              ","
                  62%
              ","
                  $45,780
              ","$17,230",1200/23,No,"1,210",100%,82%,8%,"$16,990",4.3 years,"$26,000",64%
504,Georgia College & State University,"Milledgeville, GA","
                  56.45
              ","
                  80%
              ","
                  $29,000
              ","
                  $22,100
              ","
                  86%
              ","
                  63%
              ","
                  $50,170
              ","$16,200",1190/26,Yes,"5,760",41%,67%,4%,"$2,380",4.2 years,"$22,500",75%
505,Hiram College,"Hiram, OH","
                  56.43
              ","
                  60%
              ","
                  $38,900
              ","
                  $21,200
              ","
                  65%
              ","
                  58%
              ","
                  $48,090
              ","$15,360",1010/22,No,900,99%,91%,11%,"$8,470",4.2 years,"$25,827",65%
506,Loyola Marymount University,"Los Angeles, CA","
                  56.32
              ","
                  44%
              ","
                  $73,300
              ","
                  $51,500
              ","
                  84%
              ","
                  83%
              ","
                  $68,700
              ","$32,730",1320/29,No,"6,640",96%,66%,33%,"$11,700",4.1 years,"$19,500",79%
507,Rochester Institute of Technology,"Rochester, NY","
                  56.29
              ","
                  71%
              ","
                  $69,100
              ","
                  $38,600
              ","
                  86%
              ","
                  66%
              ","
                  $66,280
              ","$28,320",1320/30,No,"12,620",100%,84%,23%,"$13,080",4.8 years,"$27,000",77%
508,Hampden-Sydney College,"Hampden-Sydney, VA","
                  56.17
              ","
                  57%
              ","
                  $67,000
              ","
                  $35,200
              ","
                  99%
              ","
                  65%
              ","
                  $65,450
              ","$25,850",1190/24,No,990,99%,83%,29%,"$18,650",4.1 years,"$27,000",76%
509,Goucher College,"Baltimore, MD","
                  56.13
              ","
                  81%
              ","
                  $67,800
              ","
                  $31,300
              ","
                  92%
              ","
                  71%
              ","
                  $48,030
              ","$16,230",1150/26,No,"1,440",100%,87%,26%,"$22,250",4.2 years,"$25,306",59%
510,Randolph-Macon College,"Ashland, VA","
                  56.08
              ","
                  71%
              ","
                  $61,000
              ","
                  $27,500
              ","
                  100%
              ","
                  66%
              ","
                  $53,290
              ","$20,450",1150/23,No,"1,530",99%,81%,32%,"$24,270",4.1 years,"$27,000",71%
511,Reed College,"Portland, OR","
                  55.97
              ","
                  39%
              ","
                  $80,300
              ","
                  $35,900
              ","
                  52%
              ","
                  81%
              ","
                  $50,780
              ","$18,790",1420/32,No,"1,430",99%,100%,N/A,N/A,4.2 years,"$21,020",59%
512,Seton Hall University,"South Orange, NJ","
                  55.90
              ","
                  74%
              ","
                  $66,500
              ","
                  $35,500
              ","
                  93%
              ","
                  70%
              ","
                  $68,440
              ","$21,250",1240/27,No,"5,910",N/A,N/A,N/A,N/A,4.1 years,"$23,000",79%
513,Southwestern College,"Winfield, KS","
                  55.83
              ","
                  52%
              ","
                  $50,700
              ","
                  $26,400
              ","
                  64%
              ","
                  47%
              ","
                  $50,210
              ","$23,060",1000/21,Yes,"1,330",98%,70%,10%,"$15,420",4.2 years,"$23,250",71%
514,Concordia University-Irvine,"Irvine, CA","
                  55.63
              ","
                  71%
              ","
                  $55,900
              ","
                  $31,600
              ","
                  84%
              ","
                  63%
              ","
                  $53,140
              ","$23,510",1100/22,Yes,"1,720",87%,66%,17%,"$14,470",4.2 years,"$23,949",72%
515,Samford University,"Birmingham, AL","
                  55.63
              ","
                  83%
              ","
                  $52,800
              ","
                  $33,100
              ","
                  95%
              ","
                  76%
              ","
                  $53,220
              ","$22,240",1160/26,No,"3,590",98%,77%,50%,"$13,210",4.2 years,"$19,727",72%
516,Elizabeth City State University,"Elizabeth City, NC","
                  55.49
              ","
                  66%
              ","
                  $14,800
              ","
                  $3,500
              ","
                  81%
              ","
                  42%
              ","
                  $35,270
              ","$2,040",960/18,No,"1,620",N/A,N/A,N/A,N/A,4.7 years,"$23,000",48%
517,Southern Methodist University,"Dallas, TX","
                  55.44
              ","
                  47%
              ","
                  $81,300
              ","
                  $43,800
              ","
                  71%
              ","
                  78%
              ","
                  $72,510
              ","$27,430",1390/31,No,"6,680",75%,85%,46%,"$34,200",4.1 years,"$20,006",81%
518,Marymount University,"Arlington, VA","
                  55.43
              ","
                  81%
              ","
                  $54,100
              ","
                  $25,600
              ","
                  82%
              ","
                  57%
              ","
                  $60,360
              ","$21,230",1070/21,No,"2,130",63%,58%,28%,"$16,370",4.3 years,"$25,000",76%
519,West Virginia University,"Morgantown, WV","
                  55.40
              ","
                  84%
              ","
                  $24,800
              ","
                  $13,800
              ","
                  71%
              ","
                  58%
              ","
                  $51,780
              ","$10,010",1130/24,No,"20,270",74%,N/A,16%,"$4,740",4.4 years,"$22,786",68%
520,Immaculata University,"Immaculata, PA","
                  55.32
              ","
                  81%
              ","
                  $47,800
              ","
                  $30,600
              ","
                  67%
              ","
                  68%
              ","
                  $53,420
              ","$25,070",1050/21,No,"1,300",69%,55%,19%,"$9,670",4.2 years,"$27,000",77%
521,The College of Idaho,"Caldwell, ID","
                  55.29
              ","
                  49%
              ","
                  $48,200
              ","
                  $22,500
              ","
                  99%
              ","
                  68%
              ","
                  $45,430
              ","$19,110",NA/NA,No,"1,070",76%,35%,29%,"$22,900",4.1 years,"$24,125",63%
522,Western Michigan University,"Kalamazoo, MI","
                  55.19
              ","
                  80%
              ","
                  $27,800
              ","
                  $19,100
              ","
                  57%
              ","
                  52%
              ","
                  $49,650
              ","$13,110",1110/23,No,"16,800",78%,55%,11%,"$5,770",4.7 years,"$26,000",68%
523,Chatham University,"Pittsburgh, PA","
                  55.14
              ","
                  62%
              ","
                  $56,700
              ","
                  $29,900
              ","
                  79%
              ","
                  62%
              ","
                  $42,810
              ","$20,350",NA/NA,No,"1,150",94%,67%,10%,"$20,250",4.2 years,"$22,250",66%
524,Winston-Salem State University,"Winston-Salem, NC","
                  54.98
              ","
                  68%
              ","
                  $21,400
              ","
                  $12,500
              ","
                  81%
              ","
                  47%
              ","
                  $38,580
              ","$10,300",960/18,No,"4,530",85%,71%,1%,"$4,410",4.5 years,"$25,000",58%
525,Butler University,"Indianapolis, IN","
                  54.97
              ","
                  73%
              ","
                  $63,600
              ","
                  $45,000
              ","
                  93%
              ","
                  72%
              ","
                  $66,540
              ","$30,120",1240/27,No,"4,540",93%,70%,42%,"$18,530",4.1 years,"$26,176",83%
526,Alverno College,"Milwaukee, WI","
                  54.96
              ","
                  69%
              ","
                  $46,500
              ","
                  $21,200
              ","
                  93%
              ","
                  38%
              ","
                  $47,600
              ","$17,790",NA/NA,No,"1,090",100%,N/A,9%,"$11,200",4.6 years,"$27,000",67%
527,Loyola University Chicago,"Chicago, IL","
                  54.93
              ","
                  67%
              ","
                  $65,400
              ","
                  $39,800
              ","
                  89%
              ","
                  74%
              ","
                  $63,230
              ","$29,260",1230/28,Yes,"12,100",93%,85%,35%,"$18,990",4.1 years,"$24,194",80%
528,Ohio University,"Athens, OH","
                  54.85
              ","
                  82%
              ","
                  $31,600
              ","
                  $24,600
              ","
                  64%
              ","
                  63%
              ","
                  $47,150
              ","$17,610",1160/24,No,"20,480",83%,56%,11%,"$5,420",4.3 years,"$20,629",66%
529,Rider University,"Lawrenceville, NJ","
                  54.82
              ","
                  71%
              ","
                  $67,200
              ","
                  $31,000
              ","
                  93%
              ","
                  65%
              ","
                  $56,440
              ","$21,220",1120/23,No,"3,690",99%,82%,22%,"$22,450",4.1 years,"$26,000",74%
530,Biola University,"La Mirada, CA","
                  54.69
              ","
                  70%
              ","
                  $61,400
              ","
                  $36,700
              ","
                  96%
              ","
                  73%
              ","
                  $47,700
              ","$27,020",1200/25,No,"4,030",99%,55%,31%,"$11,920",4.3 years,"$24,273",68%
531,Roanoke College,"Salem, VA","
                  54.66
              ","
                  75%
              ","
                  $66,700
              ","
                  $29,500
              ","
                  100%
              ","
                  67%
              ","
                  $50,770
              ","$20,500",1160/25,No,"1,950",95%,86%,24%,"$24,190",4.1 years,"$27,000",74%
532,Baylor University,"Waco, TX","
                  54.65
              ","
                  45%
              ","
                  $69,000
              ","
                  $42,400
              ","
                  90%
              ","
                  79%
              ","
                  $60,510
              ","$25,980",1290/29,No,"13,950",96%,66%,37%,"$17,280",4.2 years,"$23,550",77%
533,Lubbock Christian University,"Lubbock, TX","
                  54.59
              ","
                  91%
              ","
                  $40,900
              ","
                  $26,100
              ","
                  83%
              ","
                  47%
              ","
                  $43,730
              ","$24,220",1070/22,Yes,"1,330",96%,64%,16%,"$6,570",4.4 years,"$20,837",67%
534,North Carolina A & T State University,"Greensboro, NC","
                  54.57
              ","
                  58%
              ","
                  $19,000
              ","
                  $10,100
              ","
                  74%
              ","
                  52%
              ","
                  $41,160
              ","$7,830",1060/20,No,"10,710",74%,60%,4%,"$6,880",4.6 years,"$27,000",53%
535,University of Maine,"Orono, ME","
                  54.49
              ","
                  90%
              ","
                  $27,000
              ","
                  $17,300
              ","
                  88%
              ","
                  59%
              ","
                  $44,380
              ","$12,220",1160/24,No,"8,830",95%,69%,32%,"$7,610",4.4 years,"$25,127",63%
536,Carlow University,"Pittsburgh, PA","
                  54.48
              ","
                  92%
              ","
                  $48,500
              ","
                  $22,400
              ","
                  83%
              ","
                  54%
              ","
                  $48,450
              ","$16,920",1070/22,No,"1,290",89%,58%,9%,"$11,170",4.3 years,"$26,998",67%
537,Russell Sage College,"Troy, NY","
                  54.37
              ","
                  85%
              ","
                  $51,300
              ","
                  $23,500
              ","
                  95%
              ","
                  62%
              ","
                  $51,980
              ","$14,560",NA/NA,No,"1,310",99%,N/A,9%,"$15,970",4.1 years,"$22,188",73%
538,Georgia State University,"Atlanta, GA","
                  54.33
              ","
                  76%
              ","
                  $31,200
              ","
                  $18,700
              ","
                  79%
              ","
                  53%
              ","
                  $43,100
              ","$15,200",1160/23,No,"27,260",74%,55%,N/A,N/A,4.6 years,"$21,500",55%
539,Woodbury University,"Burbank, CA","
                  54.33
              ","
                  66%
              ","
                  $61,600
              ","
                  $34,400
              ","
                  91%
              ","
                  52%
              ","
                  $57,000
              ","$25,500",1080/22,No,"1,110",95%,61%,16%,"$11,050",4.5 years,"$27,000",73%
540,Abilene Christian University,"Abilene, TX","
                  54.27
              ","
                  61%
              ","
                  $55,200
              ","
                  $30,300
              ","
                  97%
              ","
                  67%
              ","
                  $49,290
              ","$24,400",1120/25,No,"3,500",98%,67%,34%,"$16,830",4.2 years,"$24,000",70%
541,Cornerstone University,"Grand Rapids, MI","
                  54.19
              ","
                  78%
              ","
                  $40,700
              ","
                  $21,200
              ","
                  89%
              ","
                  55%
              ","
                  $42,830
              ","$17,680",1070/23,No,"1,440",100%,66%,25%,"$10,060",4.2 years,"$25,125",60%
542,Sacred Heart University,"Fairfield, CT","
                  54.08
              ","
                  64%
              ","
                  $66,500
              ","
                  $45,700
              ","
                  91%
              ","
                  70%
              ","
                  $72,190
              ","$36,450",NA/NA,No,"6,070",99%,59%,34%,"$14,790",4.1 years,"$25,561",79%
543,Chestnut Hill College,"Philadelphia, PA","
                  53.99
              ","
                  65%
              ","
                  $60,000
              ","
                  $26,300
              ","
                  88%
              ","
                  60%
              ","
                  $46,560
              ","$19,440",1010/NA,No,"1,170",81%,64%,11%,"$16,810",4.1 years,"$27,000",67%
544,Furman University,"Greenville, SC","
                  53.96
              ","
                  57%
              ","
                  $70,100
              ","
                  $39,900
              ","
                  94%
              ","
                  80%
              ","
                  $58,340
              ","$21,200",1330/30,No,"2,670",100%,83%,33%,"$19,200",4.1 years,"$23,731",74%
545,Bard College,"Annandale-On-Hudson, NY","
                  53.95
              ","
                  65%
              ","
                  $78,900
              ","
                  $26,900
              ","
                  76%
              ","
                  74%
              ","
                  $43,440
              ","$19,330",NA/NA,No,"1,840",97%,86%,2%,"$25,310",4.2 years,"$25,910",52%
546,Murray State University,"Murray, KY","
                  53.95
              ","
                  82%
              ","
                  $25,000
              ","
                  $12,300
              ","
                  91%
              ","
                  55%
              ","
                  $41,890
              ","$9,340",1140/25,No,"6,800",92%,43%,17%,"$8,750",4.4 years,"$21,500",57%
547,Montana State University,"Bozeman, MT","
                  53.92
              ","
                  82%
              ","
                  $23,700
              ","
                  $18,600
              ","
                  60%
              ","
                  56%
              ","
                  $49,070
              ","$15,990",1200/24,No,"14,400",71%,69%,12%,"$1,880",4.6 years,"$22,995",64%
548,Xavier University,"Cincinnati, OH","
                  53.71
              ","
                  76%
              ","
                  $62,000
              ","
                  $36,900
              ","
                  90%
              ","
                  73%
              ","
                  $62,020
              ","$29,960",1180/25,No,"5,010",59%,67%,13%,"$19,590",4.1 years,"$24,536",80%
549,Gallaudet University,"Washington, DC","
                  53.63
              ","
                  61%
              ","
                  $40,300
              ","
                  $19,400
              ","
                  82%
              ","
                  46%
              ","
                  $33,840
              ","$14,950",920/17,Yes,"1,060",96%,41%,6%,"$8,550",4.7 years,"$18,935",45%
550,Plymouth State University,"Plymouth, NH","
                  53.49
              ","
                  85%
              ","
                  $30,600
              ","
                  $21,800
              ","
                  91%
              ","
                  53%
              ","
                  $48,110
              ","$15,710",NA/NA,No,"3,780",96%,59%,25%,"$5,120",4.2 years,"$27,000",71%
551,Albertus Magnus College,"New Haven, CT","
                  53.26
              ","
                  83%
              ","
                  $59,300
              ","
                  $29,000
              ","
                  87%
              ","
                  58%
              ","
                  $55,260
              ","$26,630",970/19,No,"1,110",70%,47%,3%,"$20,260",4.2 years,"$30,836",73%
552,Saint Elizabeth University,"Morristown, NJ","
                  53.08
              ","
                  74%
              ","
                  $55,300
              ","
                  $21,200
              ","
                  74%
              ","
                  49%
              ","
                  $45,130
              ","$14,840",990/18,No,780,97%,73%,7%,"$17,120",4.2 years,"$22,250",63%
553,North Greenville University,"Tigerville, SC","
                  53.06
              ","
                  63%
              ","
                  $40,900
              ","
                  $21,800
              ","
                  95%
              ","
                  63%
              ","
                  $40,030
              ","$17,740",1060/24,Yes,"1,840",N/A,N/A,N/A,N/A,4.2 years,"$22,852",57%
554,Minneapolis College of Art and Design,"Minneapolis, MN","
                  53.00
              ","
                  59%
              ","
                  $57,200
              ","
                  $31,000
              ","
                  97%
              ","
                  64%
              ","
                  $41,180
              ","$22,390",1130/23,No,700,100%,74%,18%,"$15,450",4.1 years,"$26,500",56%
555,Belmont University,"Nashville, TN","
                  52.91
              ","
                  84%
              ","
                  $58,000
              ","
                  $36,300
              ","
                  77%
              ","
                  72%
              ","
                  $49,950
              ","$19,080",1230/27,No,"6,770",93%,62%,28%,"$10,310",4.2 years,"$20,709",70%
556,The Master's University and Seminary,"Santa Clarita, CA","
                  52.75
              ","
                  67%
              ","
                  $45,200
              ","
                  $31,200
              ","
                  87%
              ","
                  61%
              ","
                  $49,160
              ","$24,090",NA/NA,No,"1,130",N/A,N/A,N/A,N/A,4.3 years,"$21,000",67%
557,Keuka College,"Keuka Park, NY","
                  52.69
              ","
                  72%
              ","
                  $52,800
              ","
                  $27,600
              ","
                  95%
              ","
                  53%
              ","
                  $52,490
              ","$19,210",NA/NA,No,"1,530",78%,65%,4%,"$14,860",5.8 years,"$26,000",78%
558,Nazareth College,"Rochester, NY","
                  52.64
              ","
                  64%
              ","
                  $55,200
              ","
                  $33,300
              ","
                  98%
              ","
                  66%
              ","
                  $51,950
              ","$21,430",NA/NA,No,"2,260",40%,84%,20%,"$22,430",4.2 years,"$26,000",75%
559,Chapman University,"Orange, CA","
                  52.63
              ","
                  56%
              ","
                  $80,500
              ","
                  $46,800
              ","
                  82%
              ","
                  78%
              ","
                  $60,840
              ","$34,950",1290/28,No,"7,290",91%,70%,8%,"$18,730",4.1 years,"$20,500",78%
560,Seton Hill University,"Greensburg, PA","
                  52.42
              ","
                  76%
              ","
                  $55,700
              ","
                  $24,300
              ","
                  96%
              ","
                  65%
              ","
                  $47,030
              ","$21,200",NA/NA,No,"1,690",99%,75%,17%,"$17,080",4.2 years,"$27,000",66%
561,Bowie State University,"Bowie, MD","
                  52.23
              ","
                  80%
              ","
                  $24,700
              ","
                  $15,100
              ","
                  64%
              ","
                  41%
              ","
                  $49,150
              ","$11,100",950/19,No,"5,090",77%,40%,3%,$160,4.8 years,"$23,000",64%
562,Rhode Island School of Design,"Providence, RI","
                  52.23
              ","
                  26%
              ","
                  $77,600
              ","
                  $42,300
              ","
                  35%
              ","
                  89%
              ","
                  $58,130
              ","$34,290",1350/29,No,"2,010",94%,62%,N/A,N/A,4.2 years,"$27,000",70%
563,Oberlin College,"Oberlin, OH","
                  52.08
              ","
                  36%
              ","
                  $81,500
              ","
                  $45,100
              ","
                  87%
              ","
                  87%
              ","
                  $47,920
              ","$8,760",1380/31,No,"2,850",99%,100%,34%,"$18,000",4.1 years,"$25,986",58%
564,Lewis & Clark College,"Portland, OR","
                  52.05
              ","
                  72%
              ","
                  $73,700
              ","
                  $39,600
              ","
                  92%
              ","
                  75%
              ","
                  $52,020
              ","$16,860",1310/29,No,"1,900",98%,88%,38%,"$23,110",4.1 years,"$22,000",63%
565,Whittier College,"Whittier, CA","
                  52.01
              ","
                  57%
              ","
                  $68,300
              ","
                  $30,300
              ","
                  95%
              ","
                  65%
              ","
                  $54,870
              ","$20,810",1130/23,No,"1,770",82%,82%,18%,"$26,740",4.1 years,"$25,000",67%
